type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,Cal_Capacity
discharge,[2008.       4.       5.      22.      46.      35.484],24,5,38,5159,05159.csv,1.8027776247196041,,,1.788765448653541
charge,[2008.      4.     18.     17.     34.     22.89],24,5,39,5160,05160.csv,,,,2.667850605330475
discharge,[2008.       4.      18.      21.      10.      19.796],24,5,41,5162,05162.csv,1.8470259949329193,,,1.8379711433859953
charge,[2008.       4.      18.      22.      53.      58.343],24,5,43,5164,05164.csv,,,,2.724008068865514
discharge,[2008    4   19    2   29    9],24,5,45,5166,05166.csv,1.847417311283644,,,1.8368595408333332
charge,[2008.       4.      19.       4.      12.       6.343],24,5,47,5168,05168.csv,,,,2.728509178598485
discharge,[2008.       4.      19.       7.      47.      15.703],24,5,49,5170,05170.csv,1.8361774213478947,,,1.8254334284444442
charge,[2008.       4.      19.       9.      29.      52.703],24,5,51,5172,05172.csv,,,,2.6938657180908097
discharge,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],24,5,53,5174,05174.csv,1.8257807475776242,,,1.8143825508398697
charge,[2008.       4.      19.      14.      43.      41.265],24,5,55,5176,05176.csv,,,,2.770114483555555
discharge,[2008.       4.      19.      18.      27.      29.828],24,5,57,5178,05178.csv,1.8251136435078368,,,1.814385828971631
charge,[2008.      4.     19.     20.      9.     47.75],24,5,59,5180,05180.csv,,,,2.6845158414246733
discharge,[2008.       4.      19.      23.      41.      55.687],24,5,61,5182,05182.csv,1.8255815042203762,,,1.81176637912138
charge,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 2.2000e+01 5.3953e+01],24,5,63,5184,05184.csv,,,,2.681456346747723
discharge,[2008.       4.      20.       4.      54.      41.734],24,5,65,5186,05186.csv,1.8140311275083907,,,1.8009946117904592
charge,[2008.       4.      20.       6.      35.      39.765],24,5,67,5188,05188.csv,,,,2.7333071891587046
discharge,[2008.       4.      20.      10.      16.      28.859],24,5,69,5190,05190.csv,1.8147691941158939,,,1.8009485458251366
charge,[2008.       4.      20.      11.      57.       8.765],24,5,71,5192,05192.csv,,,,2.729908298813454
discharge,[2008.       4.      20.      15.      37.       5.281],24,5,73,5194,05194.csv,1.813969388710352,,,1.800043916357013
charge,[2008.       4.      20.      17.      17.      44.031],24,5,75,5196,05196.csv,,,,2.67907933761801
discharge,[2008.       4.      20.      20.      50.      38.921],24,5,77,5198,05198.csv,1.802765665167823,,,1.789720945673953
charge,[2008.       4.      20.      22.      31.      18.046],24,5,79,5200,05200.csv,,,,2.74745008347588
discharge,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],24,5,81,5202,05202.csv,1.804077040117352,,,1.7900528113339438
charge,[2008.       4.      21.      17.      51.      26.312],24,5,83,5204,05204.csv,,,,2.6985483387914746
discharge,[2008.       4.      22.      15.      33.      49.875],24,5,85,5206,05206.csv,1.8518025516704486,,,1.83823794269422
charge,[2008.       4.      22.      17.       4.      53.218],24,5,87,5208,05208.csv,,,,1.940760249993016
discharge,[2008.       4.      22.      20.      26.      18.921],24,5,89,5210,05210.csv,1.8307038456739428,,,1.8172075829946728
charge,[2008.       4.      22.      21.      56.      21.406],24,5,91,5212,05212.csv,,,,1.9269042723813419
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],24,5,93,5214,05214.csv,1.8199041089501267,,,1.8067054625785126
charge,[2.0080e+03 4.0000e+00 2.3000e+01 2.0000e+00 4.7000e+01 5.5453e+01],24,5,95,5216,05216.csv,,,,1.9144186237244587
discharge,[2008.       4.      23.       6.      18.      19.921],24,5,97,5218,05218.csv,1.8093079637028517,,,1.7963774484346229
charge,[2008.       4.      23.       7.      47.      54.718],24,5,99,5220,05220.csv,,,,1.9050983507345047
discharge,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],24,5,101,5222,05222.csv,1.80460990458052,,,1.7916592547111112
charge,[2008.       4.      23.      12.      37.      17.515],24,5,103,5224,05224.csv,,,,1.899692407263536
discharge,[2008.       4.      23.      16.       6.      25.171],24,5,105,5226,05226.csv,1.7993770651972192,,,1.7865355635179012
charge,[2008.       4.      23.      17.      35.      42.828],24,5,107,5228,05228.csv,,,,1.892759114431217
discharge,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],24,5,109,5230,05230.csv,1.7884432335370462,,,1.7760227259401116
charge,[2008.       4.      23.      22.      32.       6.671],24,5,111,5232,05232.csv,,,,1.8846939572004944
discharge,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01],24,5,113,5234,05234.csv,1.7829230484252723,,,1.7705591424680986
charge,[2008.       4.      24.       3.      20.      23.359],24,5,115,5236,05236.csv,,,,1.8765951157573912
discharge,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02],24,5,117,5238,05238.csv,1.7730337158018288,,,1.7607674604034023
charge,[2008.       4.      24.       8.      18.      41.703],24,5,119,5240,05240.csv,,,,1.8672581542224824
discharge,[2008.       4.      24.      11.      49.      24.281],24,5,121,5242,05242.csv,1.773037755078937,,,1.7603907617965573
charge,[2008.      4.     24.     13.     17.     56.25],24,5,123,5244,05244.csv,,,,1.8670060309050325
discharge,[2008.       4.      24.      16.      45.      56.015],24,5,125,5246,05246.csv,1.7678721106662054,,,1.7555841569921755
charge,[2008.       4.      24.      18.      14.      28.937],24,5,127,5248,05248.csv,,,,1.8610603555130922
discharge,[2008.       4.      24.      21.      38.      11.078],24,5,129,5250,05250.csv,1.7623150704093087,,,1.750025112333334
charge,[2008.       4.      24.      23.       6.      34.156],24,5,131,5252,05252.csv,,,,1.854895891847608
discharge,[2008.       4.      25.      12.       3.      44.093],24,5,133,5254,05254.csv,1.7676172924938447,,,1.7540896221666664
charge,[2.0080e+03 4.0000e+00 2.5000e+01 1.7000e+01 2.0000e+00 3.5703e+01],24,5,134,5255,05255.csv,,,,1.8641384075834764
discharge,[2008.       4.      25.      20.       3.      55.921],24,5,135,5256,05256.csv,1.762668359743147,,,1.7501296678286256
charge,[2008.       4.      25.      21.      32.      20.468],24,5,137,5258,05258.csv,,,,1.8540579954880787
discharge,[2.0080e+03 4.0000e+00 2.6000e+01 1.0000e+00 4.0000e+00 3.5718e+01],24,5,139,5260,05260.csv,1.7517304870664143,,,1.739644616539773
charge,[2.0080e+03 4.0000e+00 2.6000e+01 2.0000e+00 3.2000e+01 4.1093e+01],24,5,141,5262,05262.csv,,,,1.8441159367381468
discharge,[2008.      4.     26.      5.     57.     35.14],24,5,143,5264,05264.csv,1.7418496047960008,,,1.72971163456
charge,[2008.       4.      26.       7.      25.      23.031],24,5,145,5266,05266.csv,,,,1.8317144790241051
discharge,[2008.       4.      26.      10.      58.      25.843],24,5,147,5268,05268.csv,1.7360913511847138,,,1.7240178435351803
charge,[2008.       4.      28.      17.      20.      47.859],24,5,148,5269,05269.csv,,,,1.8234664826863474
discharge,[2008.       4.      29.      12.      15.      56.953],24,5,149,5270,05270.csv,1.7936240148573608,,,1.780316858292291
charge,[2008.       4.      29.      13.      44.      46.546],24,5,151,5272,05272.csv,,,,1.8983899868128014
discharge,[2008.       4.      29.      17.       5.      27.781],24,5,153,5274,05274.csv,1.7831890223273275,,,1.7700950859563047
charge,[2008.       4.      29.      18.      34.      10.656],24,5,155,5276,05276.csv,,,,1.873819651641791
discharge,[2008.      4.     29.     22.      0.      4.75],24,5,157,5278,05278.csv,1.7673642076278957,,,1.7546873956476239
charge,[2008.       4.      29.      23.      28.      20.218],24,5,159,5280,05280.csv,,,,1.8582851430537415
discharge,[2.0080e+03 4.0000e+00 3.0000e+01 2.0000e+00 4.3000e+01 5.5312e+01],24,5,161,5282,05282.csv,1.7570177850353066,,,1.7446545205417854
charge,[2008.       4.      30.       4.      11.      53.078],24,5,163,5284,05284.csv,,,,1.8492489657660285
discharge,[2008.       4.      30.       7.      41.      42.578],24,5,165,5286,05286.csv,1.7468706179837907,,,1.7347136245833334
charge,[2008.       4.      30.       9.       9.      32.281],24,5,167,5288,05288.csv,,,,1.8371070735352977
discharge,[2008.       4.      30.      12.      28.      49.265],24,5,169,5290,05290.csv,1.7417172507457144,,,1.7295136668958933
charge,[2008.       4.      30.      13.      56.      29.843],24,5,171,5292,05292.csv,,,,1.8329521481158637
discharge,[2008.      4.     30.     17.     20.     16.14],24,5,173,5294,05294.csv,1.7364225056478186,,,1.7245782104164278
charge,[2008.      4.     30.     18.     47.     57.39],24,5,175,5296,05296.csv,,,,1.8263129569376533
discharge,[2008.       4.      30.      22.      14.      54.062],24,5,177,5298,05298.csv,1.7263217239235826,,,1.714612551774585
charge,[2008.      4.     30.     23.     42.     27.25],24,5,179,5300,05300.csv,,,,1.8132868330671794
discharge,[2.008e+03 5.000e+00 1.000e+00 3.000e+00 1.500e+01 3.314e+01],24,5,181,5302,05302.csv,1.7158065389330133,,,1.704407136248959
charge,[2.0080e+03 5.0000e+00 1.0000e+00 4.0000e+00 4.2000e+01 5.7703e+01],24,5,183,5304,05304.csv,,,,1.805483268134401
discharge,[2.008e+03 5.000e+00 1.000e+00 8.000e+00 1.600e+01 3.343e+00],24,5,185,5306,05306.csv,1.710533351135192,,,1.6989673019174696
charge,[2.0080e+03 5.0000e+00 1.0000e+00 9.0000e+00 4.3000e+01 1.8359e+01],24,5,187,5308,05308.csv,,,,1.7989187796581199
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.3000e+01 1.4000e+01 2.4875e+01],24,5,189,5310,05310.csv,1.706014499648521,,,1.6945359920937701
charge,[2.0080e+03 5.0000e+00 1.0000e+00 1.4000e+01 4.1000e+01 4.1578e+01],24,5,191,5312,05312.csv,,,,1.7940766856310284
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 1.8000e+01 1.1000e+01 1.0984e+01],24,5,193,5314,05314.csv,1.7003110272642588,,,1.6889907067318841
charge,[2.0080e+03 5.0000e+00 1.0000e+00 1.9000e+01 3.8000e+01 1.7968e+01],24,5,195,5316,05316.csv,,,,1.7878567184277703
discharge,[2.0080e+03 5.0000e+00 1.0000e+00 2.3000e+01 1.0000e+01 1.5265e+01],24,5,197,5318,05318.csv,1.6945798601797895,,,1.6836109820146552
charge,[2.0080e+03 5.0000e+00 2.0000e+00 0.0000e+00 3.7000e+01 2.2234e+01],24,5,199,5320,05320.csv,,,,1.7839017478532844
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 3.0000e+00 5.3000e+01 3.4765e+01],24,5,201,5322,05322.csv,1.6849029086609286,,,1.6739518271793006
charge,[2.0080e+03 5.0000e+00 2.0000e+00 5.0000e+00 2.0000e+01 2.4687e+01],24,5,203,5324,05324.csv,,,,1.7736205397856648
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 8.0000e+00 4.4000e+01 4.0859e+01],24,5,205,5326,05326.csv,1.6744741591159717,,,1.6639259574781342
charge,[2.0080e+03 5.0000e+00 2.0000e+00 1.0000e+01 1.1000e+01 3.1921e+01],24,5,207,5328,05328.csv,,,,1.7599431705442306
discharge,[2.008e+03 5.000e+00 2.000e+00 1.300e+01 4.300e+01 5.093e+00],24,5,209,5330,05330.csv,1.6745692479879102,,,1.663816952006823
charge,[2.0080e+03 5.0000e+00 2.0000e+00 1.5000e+01 9.0000e+00 4.6812e+01],24,5,211,5332,05332.csv,,,,1.7602732649989274
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 1.9000e+01 7.0000e+00 4.8359e+01],24,5,213,5334,05334.csv,1.663716375981405,,,1.653870201409254
charge,[2.0080e+03 5.0000e+00 2.0000e+00 2.0000e+01 2.8000e+01 2.5781e+01],24,5,214,5335,05335.csv,,,,1.7551013514131621
discharge,[2.0080e+03 5.0000e+00 2.0000e+00 2.3000e+01 2.4000e+01 1.7687e+01],24,5,215,5336,05336.csv,1.659013868748246,,,1.6487554790573447
charge,[2008.       5.       3.       0.      50.      52.187],24,5,217,5338,05338.csv,,,,1.7456024903040845
discharge,[2008.       5.       3.       4.      13.       8.609],24,5,219,5340,05340.csv,1.6538540573335014,,,1.6437356506058827
charge,[2008.       5.       3.       5.      39.      33.921],24,5,221,5342,05342.csv,,,,1.7381513084034494
discharge,[2008.       5.       3.       9.      10.      19.812],24,5,223,5344,05344.csv,1.642653782130131,,,1.633084755218617
charge,[2008.       5.       3.      10.      36.      35.781],24,5,225,5346,05346.csv,,,,1.7262013311014535
discharge,[2008.       5.       3.      14.       4.      34.187],24,5,227,5348,05348.csv,1.6378578430223698,,,1.6281787263782053
charge,[2008.      5.      3.     15.     30.     41.64],24,5,229,5350,05350.csv,,,,1.7231158609778843
discharge,[2008.       5.       3.      18.      58.      13.468],24,5,231,5352,05352.csv,1.6327350407099108,,,1.623042580385273
charge,[2008.       5.       3.      20.      24.      21.312],24,5,233,5354,05354.csv,,,,1.7174488001646322
discharge,[2008.       5.       3.      23.      42.      30.093],24,5,235,5356,05356.csv,1.6277528915533617,,,1.6182108851048436
charge,[2.0080e+03 5.0000e+00 4.0000e+00 1.0000e+00 8.0000e+00 2.9578e+01],24,5,237,5358,05358.csv,,,,1.7110047799845125
discharge,[2008    5    4    4   41   40],24,5,239,5360,05360.csv,1.622125485521159,,,1.6125550036463299
charge,[2008.       5.       4.       6.       7.      29.546],24,5,241,5362,05362.csv,,,,1.7054198572853567
discharge,[2008.       5.       4.       9.      40.      11.906],24,5,243,5364,05364.csv,1.6113256603765849,,,1.6022733980654764
charge,[2008.       5.       4.      11.       6.       2.078],24,5,245,5366,05366.csv,,,,1.6933247994575726
discharge,[2008.       5.       4.      14.      38.      13.359],24,5,247,5368,05368.csv,1.6065631397488385,,,1.597498344665174
charge,[2008.       5.       4.      16.       3.      55.281],24,5,249,5370,05370.csv,,,,1.6883451109920633
discharge,[2008.      5.      4.     19.     37.      7.89],24,5,251,5372,05372.csv,1.6015142233917594,,,1.5924995498378243
charge,[2.0080e+03 5.0000e+00 4.0000e+00 2.1000e+01 2.0000e+00 4.1203e+01],24,5,253,5374,05374.csv,,,,1.6839375643607302
discharge,[2008.       5.       5.       0.      35.      53.968],24,5,255,5376,05376.csv,1.590369231400328,,,1.5819167357095432
charge,[2.008e+03 5.000e+00 5.000e+00 2.000e+00 1.000e+00 1.789e+01],24,5,257,5378,05378.csv,,,,1.6721302490294165
discharge,[2008.       5.       5.       5.      28.      13.937],24,5,259,5380,05380.csv,1.5857889968242211,,,1.5768121986361363
charge,[2008.       5.       5.       6.      53.      38.406],24,5,261,5382,05382.csv,,,,1.6654080039100132
discharge,[2008.     5.     5.    11.    41.    31.5],24,5,263,5384,05384.csv,1.5849430707374117,,,1.576607891032366
charge,[2008.       5.       5.      17.      40.      16.687],24,5,264,5385,05385.csv,,,,1.6610412095005362
discharge,[2008.       5.       5.      20.      40.       8.562],24,5,265,5386,05386.csv,1.5955263892495937,,,1.5866011758258256
charge,[2008.     5.     5.    22.     5.    32.5],24,5,267,5388,05388.csv,,,,1.675018683120316
discharge,[2.0080e+03 5.0000e+00 6.0000e+00 1.0000e+00 3.8000e+01 4.6265e+01],24,5,269,5390,05390.csv,1.5747301747801037,,,1.5665990969271573
charge,[2008.      5.      6.      3.      3.     53.39],24,5,271,5392,05392.csv,,,,1.6558366043338941
discharge,[2008.       5.       6.       6.      37.       6.296],24,5,273,5394,05394.csv,1.5649019950937946,,,1.5565290253151516
charge,[2.008e+03 5.000e+00 6.000e+00 8.000e+00 2.000e+00 5.062e+00],24,5,275,5396,05396.csv,,,,1.6467960574800988
discharge,[2008.       5.       6.      11.      25.      21.031],24,5,277,5398,05398.csv,1.5597659473370362,,,1.5517419851161618
charge,[2008.       5.       6.      12.      50.      20.781],24,5,279,5400,05400.csv,,,,1.6384619802690723
discharge,[2008.       5.       6.      16.      23.      36.296],24,5,281,5402,05402.csv,1.5594815668184234,,,1.5510381611676771
charge,[2008.       5.       6.      17.      48.      34.906],24,5,283,5404,05404.csv,,,,1.6385724179912537
discharge,[2008.       5.       6.      21.      21.      49.265],24,5,285,5406,05406.csv,1.55468935359061,,,1.5466063753309693
charge,[2008.       5.       6.      22.      46.      40.375],24,5,287,5408,05408.csv,,,,1.632786542124935
discharge,[2.0080e+03 5.0000e+00 7.0000e+00 2.0000e+00 1.7000e+01 2.5156e+01],24,5,289,5410,05410.csv,1.5488741079890418,,,1.5409341348995274
charge,[2008.      5.      7.      3.     42.     15.75],24,5,291,5412,05412.csv,,,,1.6296163975991127
discharge,[2008.       5.       7.       7.       4.       2.109],24,5,293,5414,05414.csv,1.538236598942558,,,1.5306280952568805
charge,[2008.       5.       7.       8.      28.      34.453],24,5,295,5416,05416.csv,,,,1.6147146511206176
discharge,[2.0080e+03 5.0000e+00 7.0000e+00 1.2000e+01 1.0000e+00 4.9906e+01],24,5,297,5418,05418.csv,1.527914258251028,,,1.5203845369676212
charge,[2008.       5.       7.      13.      26.      13.671],24,5,299,5420,05420.csv,,,,1.6052493141687554
discharge,[2008.       5.       7.      16.      59.      29.937],24,5,301,5422,05422.csv,1.5285252629756445,,,1.5208008758527611
charge,[2008.       5.       7.      18.      23.      54.687],24,5,303,5424,05424.csv,,,,1.6060437408107948
discharge,[2008.       5.       7.      21.      56.       9.656],24,5,305,5426,05426.csv,1.522647325284378,,,1.5154654575429451
charge,[2008.       5.       7.      23.      20.      34.515],24,5,307,5428,05428.csv,,,,1.5998962973294433
discharge,[2.0080e+03 5.0000e+00 8.0000e+00 2.0000e+00 5.3000e+01 4.9937e+01],24,5,309,5430,05430.csv,1.5174859938489869,,,1.5103149570625642
discharge,[2008    5    9   12   25    7],24,5,312,5433,05433.csv,1.605818899130659,,,1.5971159285157328
charge,[2008.       5.       9.      17.      26.      51.968],24,5,314,5435,05435.csv,,,,1.624380402954715
discharge,[2008.       5.       9.      20.      28.       9.734],24,5,315,5436,05436.csv,1.5638491446744425,,,1.5552110482819994
charge,[2.008e+03 5.000e+00 9.000e+00 2.100e+01 5.300e+01 2.810e-01],24,5,317,5438,05438.csv,,,,1.6439784102913235
discharge,[2.008e+03 5.000e+00 1.000e+01 1.000e+00 2.100e+01 5.650e+01],24,5,319,5440,05440.csv,1.5480915247767786,,,1.5399271245521682
charge,[2.0080e+03 5.0000e+00 1.0000e+01 2.0000e+00 4.6000e+01 3.8734e+01],24,5,321,5442,05442.csv,,,,1.6267073932838316
discharge,[2008    5   10    6   18   12],24,5,323,5444,05444.csv,1.5323755631868592,,,1.5248469194699286
charge,[2008.       5.      10.       7.      42.      46.312],24,5,325,5446,05446.csv,,,,1.60874430790804
discharge,[2008.       5.      10.      11.      16.       4.843],24,5,327,5448,05448.csv,1.5269528268489705,,,1.519559636897069
charge,[2008.      5.     10.     12.     40.     29.89],24,5,329,5450,05450.csv,,,,1.6044172525578557
discharge,[2008.       5.      10.      16.      11.      56.109],24,5,331,5452,05452.csv,1.5169573017136326,,,1.5097635913661538
charge,[2008.       5.      10.      17.      36.      13.062],24,5,333,5454,05454.csv,,,,1.592823248247282
discharge,[2008.       5.      10.      21.       7.      54.625],24,5,335,5456,05456.csv,1.5118975960142693,,,1.5047479952493146
charge,[2008.       5.      10.      22.      32.       2.937],24,5,337,5458,05458.csv,,,,1.5880499523589156
discharge,[2.0080e+03 5.0000e+00 1.1000e+01 2.0000e+00 5.0000e+00 2.1796e+01],24,5,339,5460,05460.csv,1.5065638960681105,,,1.4994539087520578
charge,[2008.       5.      11.       3.      29.      30.359],24,5,341,5462,05462.csv,,,,1.5828827594650487
discharge,[2008.       5.      11.       6.      55.      27.734],24,5,343,5464,05464.csv,1.5015453526671363,,,1.4945742783797735
charge,[2008.       5.      11.       8.      19.      27.953],24,5,345,5466,05466.csv,,,,1.5759343553137966
discharge,[2008.       5.      11.      11.      52.      47.187],24,5,347,5468,05468.csv,1.4908444050400238,,,1.484174142857143
charge,[2008.      5.     11.     13.     16.     38.64],24,5,349,5470,05470.csv,,,,1.565687409918678
discharge,[2008.       5.      11.      16.      49.      58.921],24,5,351,5472,05472.csv,1.485868384561201,,,1.479327533773292
charge,[2008.       5.      11.      18.      13.      51.109],24,5,353,5474,05474.csv,,,,1.56002248450558
discharge,[2008.       5.      11.      21.      47.      12.843],24,5,355,5476,05476.csv,1.480413677976106,,,1.474048072015403
charge,[2008.       5.      11.      23.      10.      55.875],24,5,357,5478,05478.csv,,,,1.5561633125901355
discharge,[2.0080e+03 5.0000e+00 1.2000e+01 2.0000e+00 3.6000e+01 5.8921e+01],24,5,359,5480,05480.csv,1.4752095869031632,,,1.4687235999355903
charge,[2008.       5.      12.       4.       0.      32.718],24,5,361,5482,05482.csv,,,,1.54821570727234
discharge,[2008.       5.      12.      12.      56.      34.781],24,5,363,5484,05484.csv,1.4859035988304024,,,1.4791880913811009
charge,[2008.      5.     12.     16.     11.     11.14],24,5,365,5486,05486.csv,,,,1.561097217325126
discharge,[2008.       5.      12.      18.      59.      59.453],24,5,366,5487,05487.csv,1.4960918298136696,,,1.488967900001726
charge,[2008.       5.      12.      20.      23.      51.828],24,5,368,5489,05489.csv,,,,1.5742172968870625
discharge,[2008.       5.      12.      23.      53.      17.609],24,5,370,5491,05491.csv,1.4808005946928984,,,1.4737406954895864
charge,[2.0080e+03 5.0000e+00 1.3000e+01 1.0000e+00 1.6000e+01 5.1859e+01],24,5,372,5493,05493.csv,,,,1.5573572524413921
discharge,[2008.       5.      13.       4.      35.      25.359],24,5,374,5495,05495.csv,1.4697543268466824,,,1.4632728024554167
charge,[2008.       5.      13.       5.      58.      50.796],24,5,376,5497,05497.csv,,,,1.52555412588459
discharge,[2008.       5.      13.       9.      24.       4.718],24,5,378,5499,05499.csv,1.4539012274845928,,,1.4475969432468352
charge,[2.008e+03 5.000e+00 1.300e+01 1.000e+01 4.700e+01 1.828e+00],24,5,380,5501,05501.csv,,,,1.5356559972160189
discharge,[2008.       5.      13.      14.      20.      24.937],24,5,382,5503,05503.csv,1.4541462067235693,,,1.4477087789788612
charge,[2008.       5.      13.      15.      43.      41.296],24,5,384,5505,05505.csv,,,,1.5278132456858902
discharge,[2008.       5.      13.      19.       4.      20.531],24,5,386,5507,05507.csv,1.455023751906683,,,1.4483486122339646
charge,[2008.       5.      13.      20.      27.      29.109],24,5,388,5509,05509.csv,,,,1.524679672320266
discharge,[2008.       5.      13.      23.      59.      26.015],24,5,390,5511,05511.csv,1.449042163761236,,,1.4429693937828607
charge,[2.0080e+03 5.0000e+00 1.4000e+01 1.0000e+00 2.2000e+01 3.4765e+01],24,5,392,5513,05513.csv,,,,1.520902181592208
discharge,[2008.       5.      14.       4.      55.      57.453],24,5,394,5515,05515.csv,1.4386709371480566,,,1.4328280801687767
charge,[2008.       5.      14.       6.      18.      57.625],24,5,396,5517,05517.csv,,,,1.5090231443668427
